,timestamp,date,messages,close,high,low,open,volume
29,2014-12-12,2014-12-12 00:00:00,7010.0,109.73,111.87,109.58,110.46,55873820
30,2014-12-13,2014-12-13 00:00:00,7164.0,109.73,111.87,109.58,110.46,55873820
31,2014-12-14,2014-12-14 00:00:00,7194.0,109.73,111.87,109.58,110.46,55873820
32,2014-12-15,2014-12-15 00:00:00,7494.0,108.225,111.6,106.35,110.7,67083260
33,2014-12-16,2014-12-16 00:00:00,7230.0,106.745,110.16,106.26,106.37,60651790
34,2014-12-17,2014-12-17 00:00:00,7197.0,109.41,109.84,106.82,107.12,53265930
35,2014-12-18,2014-12-18 00:00:00,7493.0,112.65,112.65,110.66,111.87,58785590
36,2014-12-19,2014-12-19 00:00:00,7437.0,111.78,113.24,111.66,112.26,86595830
37,2014-12-20,2014-12-20 00:00:00,6932.0,111.78,113.24,111.66,112.26,86595830
38,2014-12-21,2014-12-21 00:00:00,6898.0,111.78,113.24,111.66,112.26,86595830
39,2014-12-22,2014-12-22 00:00:00,6716.0,112.94,113.49,111.97,112.16,45097060
40,2014-12-23,2014-12-23 00:00:00,5768.0,112.54,113.33,112.46,113.23,25991030
41,2014-12-24,2014-12-24 00:00:00,5154.0,112.01,112.71,112.01,112.58,14479610
42,2014-12-25,2014-12-25 00:00:00,3763.0,112.01,112.71,112.01,112.58,14479610
43,2014-12-26,2014-12-26 00:00:00,2893.0,113.99,114.52,112.01,112.1,33681200
44,2014-12-27,2014-12-27 00:00:00,2945.0,113.99,114.52,112.01,112.1,33681200
45,2014-12-28,2014-12-28 00:00:00,2987.0,113.99,114.52,112.01,112.1,33681200
46,2014-12-29,2014-12-29 00:00:00,2980.0,113.91,114.77,113.7,113.79,27533430
47,2014-12-30,2014-12-30 00:00:00,3134.0,112.52,113.92,112.11,113.64,29798660
48,2014-12-31,2014-12-31 00:00:00,3697.0,110.38,113.13,110.21,112.82,41304780
49,2015-01-01,2015-01-01 00:00:00,4220.0,110.38,113.13,110.21,112.82,41304780
50,2015-01-02,2015-01-02 00:00:00,5102.0,109.33,111.44,107.35,111.39,53143770
51,2015-01-03,2015-01-03 00:00:00,5249.0,109.33,111.44,107.35,111.39,53143770
52,2015-01-04,2015-01-04 00:00:00,5305.0,109.33,111.44,107.35,111.39,53143770
53,2015-01-05,2015-01-05 00:00:00,6055.0,106.25,108.65,105.41,108.29,64210880
54,2015-01-06,2015-01-06 00:00:00,7803.0,106.26,107.43,104.63,106.54,65682250
55,2015-01-07,2015-01-07 00:00:00,8613.0,107.75,108.2,106.695,107.2,39983350
56,2015-01-08,2015-01-08 00:00:00,9680.0,111.89,112.15,108.7,109.23,59168760
57,2015-01-09,2015-01-09 00:00:00,10935.0,112.01,113.25,110.21,112.67,53645730
58,2015-01-10,2015-01-10 00:00:00,10847.0,112.01,113.25,110.21,112.67,53645730
59,2015-01-11,2015-01-11 00:00:00,10783.0,112.01,113.25,110.21,112.67,53645730
60,2015-01-12,2015-01-12 00:00:00,10469.0,109.36,112.63,109.23,112.46,"30,181,936"
