,timestamp,date,messages,close,high,low,open,stock,volume
34,2014-12-17,2014-12-17 00:00:00,1717.0,76.11,76.41,74.9,75.01,fb,29142380
35,2014-12-18,2014-12-18 00:00:00,1627.0,78.4,78.4,76.51,76.89,fb,34147520
36,2014-12-19,2014-12-19 00:00:00,1561.0,79.88,80,78.33,78.75,fb,43274930
37,2014-12-20,2014-12-20 00:00:00,1745.0,79.88,80,78.33,78.75,fb,43274930
38,2014-12-21,2014-12-21 00:00:00,1776.0,79.88,80,78.33,78.75,fb,43274930
39,2014-12-22,2014-12-22 00:00:00,1999.0,81.45,81.89,80,80.08,fb,31361040
40,2014-12-23,2014-12-23 00:00:00,2200.0,80.61,82.17,80.4,82.02,fb,19846990
41,2014-12-24,2014-12-24 00:00:00,2232.0,80.77,81.43,80.75,81.03,fb,7685481
42,2014-12-25,2014-12-25 00:00:00,2036.0,80.77,81.43,80.75,81.03,fb,7685481
43,2014-12-26,2014-12-26 00:00:00,1808.0,80.775,81.28,80.51,81.02,fb,10632810
44,2014-12-27,2014-12-27 00:00:00,1509.0,80.775,81.28,80.51,81.02,fb,10632810
45,2014-12-28,2014-12-28 00:00:00,1470.0,80.775,81.28,80.51,81.02,fb,10632810
46,2014-12-29,2014-12-29 00:00:00,1392.0,80.02,80.96,79.71,80.49,fb,14101570
47,2014-12-30,2014-12-30 00:00:00,1316.0,79.22,80.59,79.1,79.85,fb,14354170
48,2014-12-31,2014-12-31 00:00:00,1159.0,78.02,79.8,77.86,79.54,fb,20004710
49,2015-01-01,2015-01-01 00:00:00,1251.0,78.02,79.8,77.86,79.54,fb,20004710
50,2015-01-02,2015-01-02 00:00:00,1213.0,78.45,78.93,77.7,78.58,fb,18141830
51,2015-01-03,2015-01-03 00:00:00,1179.0,78.45,78.93,77.7,78.58,fb,18141830
52,2015-01-04,2015-01-04 00:00:00,1195.0,78.45,78.93,77.7,78.58,fb,18141830
53,2015-01-05,2015-01-05 00:00:00,1195.0,77.19,79.2455,76.86,77.98,fb,26392340
54,2015-01-06,2015-01-06 00:00:00,1112.0,76.15,77.59,75.365,77.23,fb,27365180
55,2015-01-07,2015-01-07 00:00:00,1133.0,76.15,77.36,75.82,76.76,fb,22015250
56,2015-01-08,2015-01-08 00:00:00,1234.0,78.175,78.23,76.08,76.74,fb,23931830
57,2015-01-09,2015-01-09 00:00:00,1369.0,77.74,78.62,77.2,78.2,fb,21146060
58,2015-01-10,2015-01-10 00:00:00,1428.0,77.74,78.62,77.2,78.2,fb,21146060
59,2015-01-11,2015-01-11 00:00:00,1413.0,77.74,78.62,77.2,78.2,fb,21146060
60,2015-01-12,2015-01-12 00:00:00,1354.0,76.34,78,76.21,77.84,fb,"14,169,882"
